,molecule_chembl_id,smiles,ic50,tox_free,bbb,qed,sa,lip,carc
95,CHEMBL1620365,CCCCCCCCOC(=O)c1c(CSC(=N)N)n(C)c2cc(Br)c(OC(C)=O)cc12,31622.8,False,False,0.13519690321978303,2.8573037036023976,2,True
96,CHEMBL4168652,CCNC(=O)/C=C/Cc1c(O)c(OC)cc2oc3cc(OC)cc(O)c3c(=O)c12,4890.0,False,False,0.4306250925959132,2.893099536905842,0,True
97,CHEMBL4175453,Cc1csc(-c2c(C(F)(F)F)oc3cc(O)c(C)cc3c2=O)n1,10720.0,True,False,0.718320695117657,2.7634085074651473,0,True
98,CHEMBL4176510,COc1cc(/C=C2/SC(=S)N(Nc3ncc(C(F)(F)F)cc3Cl)C2=O)cc(OC)c1OC,28183.8,False,False,0.43381770795732255,2.705386145578961,2,True
99,CHEMBL1600150,Cc1c(C(=O)Nc2cccc(C(F)(F)F)c2)oc2ccc(S(=O)(=O)N3CCOCC3)cc12,22382.7,True,True,0.6246495156712304,2.3464706447295587,0,False
100,CHEMBL4167627,O=C(c1cc(-c2ccccc2)n(-c2ccc(Cl)cc2Cl)n1)N1CCOCC1,28183.8,True,True,0.6558382754508356,2.146557914500743,0,True
101,CHEMBL4588641,CCCCCCc1ccc(COc2cc(C(=O)NO)ccc2OC)cc1,1960.0,False,False,0.37272078971293765,1.8821145206486918,0,True
102,CHEMBL1399744,COc1ccc(NC(=O)Cc2coc3ccc4ccccc4c23)cc1S(=O)(=O)N1CCOCC1,14125.4,True,True,0.45089422952334474,2.3914611552173657,0,False
103,CHEMBL1335016,Cc1cc2[nH]c(=O)c(=O)[nH]c2cc1S(=O)(=O)N1CCN(c2cccc(C(F)(F)F)c2)CC1,19952.6,False,True,0.5726931166810082,2.50353289624209,0,False
104,CHEMBL4169019,CCCCCCCC(OP(=O)(O)O)OP(=O)(O)O,350.0,False,False,0.27297972528562053,2.96215585152383,0,True
